id.title,title,author,score,genre,popularty,volume,status,type,chapter,favorites,years start,years finish,scored_by
126479,Mikkakan no Koufuku,Miaki Sugaru,8.91,Drama,583,1.0,Finished,Novel,15.0,1285,2013.0,,9855.0
130826,Tian Guan Cifu,Mo Xiang Tong Xiu,8.86,"Action,Adventure,Boys Love,Supernatural,Historical",2148,6.0,Finished,Novel,,1090,2021.0,2022.0,4004.0
35513,Koten-bu Series,Yonezawa Honobu,8.78,"Adventure,Mystery,School",1010,,Publishing,Novel,,663,2001.0,,3616.0
117077,Kimi no Suizou wo Tabetai,Sumino Yoru,8.74,"Drama,Romance",2655,1.0,Finished,Novel,10.0,401,2015.0,,3333.0
143441,Omniscient Reader's Viewpoint,sing N song,8.74,"Action,Adventure,Fantasy",1994,20.0,Finished,Novel,105.0,1168,2022.0,2023.0,4328.0
121405,Mo Dao Zu Shi,Mo Xiang Tong Xiu,8.64,"Action,Adventure,Boys Love,Mystery,Supernatural,Historical",3311,4.0,Finished,Novel,27.0,638,2016.0,,2949.0
6978,Ginga Eiyuu Densetsu,"Tanaka Yoshiki,Katou Naoyuki,Kamoshita Yukihisa",8.6,"Action,Adventure,Drama,Sci-Fi,Adult Cast,Military,Space",1982,10.0,Finished,Novel,94.0,309,1982.0,1987.0,2074.0
26728,No.6,Asano Atsuko,8.45,"Action,Mystery,Sci-Fi",851,9.0,Finished,Novel,43.0,997,2003.0,2011.0,5529.0
116479,Shinsekai yori,Kishi Yusuke,8.39,"Drama,Mystery,Sci-Fi,Supernatural",10754,2.0,Finished,Novel,37.0,37,2008.0,,450.0
108495,NieR:Automata,"Eishima Jun,Yoko Taro",8.36,"Action,Fantasy,Sci-Fi",1697,3.0,Finished,Novel,30.0,249,2017.0,2018.0,1979.0
121781,Shousetsu Kimi no Na wa.,Shinkai Makoto,8.33,"Drama,Supernatural,Romantic Subtext",2845,1.0,Finished,Novel,8.0,141,2016.0,,2927.0
7458,Death Note Another Note: Los Angeles BB Renzoku Satsujin Jiken,"Obata Takeshi,NISIO ISIN",8.32,Mystery,489,1.0,Finished,Novel,7.0,907,2006.0,,16734.0
119282,NHK ni Youkoso!,Takimoto Tatsuhiko,8.32,"Comedy,Drama,Romance,Psychological",4164,1.0,Finished,Novel,12.0,233,2002.0,,1509.0
134997,"Mata, Onaji Yume wo Miteita",Sumino Yoru,8.3,Drama,5893,1.0,Finished,Novel,11.0,96,2016.0,,1025.0
